eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20160322,FRA,AZ,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Arizona Passenger Rail Corridor Tucson-Phoenix Tier 1. Service-level planning study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 planning EIS.,482,Rail transportation,"rail (FRA, Amtrak, freight)",Arizona Passenger Rail Corridor: Tucson to Phoenix
20160326,FERC,PA,3000,2017,web,https://www.williams.com/2017/09/18/atlantic-sunrise-project-breaks-ground-in-pennsylvania/,Atlantic Sunrise breaks ground in Pennsylvania,williams.com,2017,NA,Nearly $3 billion expansion of Transco. 1.7 Bcf/d. In service Oct 2018.,high,FALSE,NA,Williams/Transco. PA + neighboring states.,2211,Electric power generation/transmission/distribution,FERC default = electric power,Atlantic Sunrise Project
20170010,USFS,ID,15,2017,sector_impute_pending,NA,NA,NA,NA,NA,Lookout Pass Ski Area Expansion. Modest small-resort expansion + new lift.,low,TRUE,Small-ski-resort-expansion (~$15M),Idaho Panhandle NF ID/MT.,713,"Amusement, gambling, recreation",USFS recreation / ski,Lookout Pass Ski Area Expansion EIS
20170012,TVA,TN,100,2017,sector_impute_pending,https://www.tva.com/environment/environmental-stewardship/coal-combustion-residuals/bull-run,TVA Bull Run CCR,tva.com,2017,NA,New CCR landfill at Bull Run Anderson County TN. Cost not disclosed; TVA CCR landfill program impute.,low,TRUE,TVA-CCR-landfill (~$100M),Bull Run Fossil Plant. Closed 2023.,2211,Electric power generation/transmission/distribution,TVA = electric utility,Bull Run Fossil Plant Landfill
20170013,NPS,CA,50,2017,sector_impute_pending,NA,NA,NA,NA,NA,Alcatraz Ferry Embarkation. New terminal at Pier 31.5 SF. Mid-size waterfront facility.,low,TRUE,Ferry-terminal-mid (~$50M),San Francisco. NPS + Hornblower.,9241,Federal admin of environmental quality,regulatory / environmental admin,Alcatraz Ferry Embarkation
20170017,BR,CA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,"Long-Term Plan to Protect Adult Salmon in Lower Klamath River. Operational flow management plan, no construction.",high,FALSE,NA,RECLASSIFY (ii). Operational flow management.,2213,"Water, sewage, & other systems",Bureau of Reclamation = water,Long-Term Plan to Protect Adult Salmon in the Lower Klamath River
20170018,DOE,LA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,DOE adoption of FERC Golden Pass LNG Export Project EIS (20160180).,high,FALSE,NA,Adoption <e2><80><94> primary EIS FERC.,9281,National security,national security default,"Adoption--Golden Pass LNG Export Project, Review Period, Contact: Kyle Moorman 202-586-7970 The U.S. Department of Energy (DOE) has adopted the Federal Regulatory Commission's F"
20170044,USFS,CO,50,2017,sector_impute_pending,NA,NA,NA,NA,NA,Snowmass Multi-Season Recreation Projects. Aspen Snowmass year-round expansion. Mid-size resort capex.,low,TRUE,Mid-size-resort-multi-season-expansion (~$50M),White River NF CO. Aspen Skiing Co.,713,"Amusement, gambling, recreation",USFS recreation / ski,Snowmass Multi-Season Recreation Projects
20170053,USAF,NC,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,KC-46A Third Main Operating Base Beddown (Seymour Johnson AFB NC). Standard tanker beddown MILCON.,low,TRUE,KC-46A-beddown-MILCON (~$200M),Seymour Johnson AFB NC. USAF tanker recap program.,481,Air transportation,air / aviation / airfield / aircraft beddown,KC-46A Third Main Operating Base Beddown
20170055,FERC,PA,1200,2017,web_imputed,NA,NA,NA,NA,NA,PennEast Pipeline. 116-mi PA-NJ. UGI Energy. Estimated ~$1.2B at announcement. Cancelled Sept 2021.,medium,TRUE,Mid-stream-pipeline (~$1.2B),UGI Energy / NJR / SJI. Cancelled 2021 but FEIS issued <e2><80><94> exposure attributable.,486,Pipeline transportation,pipeline / compressor / gas service,PennEast Pipeline Project
